ZONE,spearman_precip_ratio,p_value,avg_ratio_no_rain,avg_ratio_moderate_plus,ratio_lift,orders_lift,connected_rt_lift,response_gap_orders_minus_rt,n_observations,n_moderate_plus
Santiago,0.273,0.0,0.618,2.439,1.821,6.691,0.924,5.767,720,27
Carretera Nacional,0.2719,0.0,0.642,2.126,1.484,9.044,1.98,7.063,720,27
MTY_Apodaca_Huinalá,0.2235,0.0,0.614,1.675,1.061,6.609,2.485,4.124,720,27
Santa Catarina,0.242,0.0,0.877,1.868,0.991,11.69,3.669,8.021,720,27
San Pedro,0.2282,0.0,0.79,1.666,0.876,20.093,8.018,12.075,720,27
San Nicolás,0.2134,0.0,0.789,1.639,0.85,18.094,8.134,9.96,720,27
Apodaca Centro,0.2124,0.0,0.834,1.684,0.85,13.576,5.41,8.166,720,27
MTY_Guadalupe,0.2351,0.0,0.796,1.641,0.845,17.109,7.02,10.089,720,27
Escobedo,0.2192,0.0,0.82,1.654,0.834,11.482,4.763,6.719,720,27
Independencia,0.2382,0.0,0.83,1.656,0.826,12.92,5.137,7.783,720,27
Centro,0.2278,0.0,0.811,1.606,0.794,23.504,9.697,13.807,720,27
Cumbres Poniente,0.2214,0.0,0.807,1.599,0.792,13.615,5.881,7.735,720,27
Mitras Centro,0.2239,0.0,0.801,1.576,0.774,15.786,7.274,8.513,720,27
La Fe,0.2279,0.0,0.821,1.551,0.73,11.085,5.109,5.976,720,27
