HOUR,2024-03-01 00:00:00,2024-03-02 00:00:00,2024-03-03 00:00:00,2024-03-04 00:00:00,2024-03-05 00:00:00,2024-03-06 00:00:00,2024-03-07 00:00:00,2024-03-08 00:00:00,2024-03-09 00:00:00,2024-03-10 00:00:00,2024-03-11 00:00:00,2024-03-12 00:00:00,2024-03-13 00:00:00,2024-03-14 00:00:00,2024-03-15 00:00:00,2024-03-16 00:00:00,2024-03-17 00:00:00,2024-03-18 00:00:00,2024-03-19 00:00:00,2024-03-20 00:00:00,2024-03-21 00:00:00,2024-03-22 00:00:00,2024-03-23 00:00:00,2024-03-24 00:00:00,2024-03-25 00:00:00,2024-03-26 00:00:00,2024-03-27 00:00:00,2024-03-28 00:00:00,2024-03-29 00:00:00,2024-03-30 00:00:00
0,2,0,0,2,2,2,2,0,4,2,2,2,1,2,4,2,0,2,1,3,1,0,3,1,0,0,5,3,0,1
1,2,2,0,0,3,2,1,2,2,1,3,3,2,4,1,3,2,1,3,1,2,2,1,3,2,1,4,1,3,0
2,5,4,2,0,0,0,3,1,3,2,1,3,3,0,0,1,2,2,2,4,1,2,1,1,4,0,1,4,2,2
3,2,1,0,2,0,5,1,1,1,2,1,2,1,2,1,3,2,1,2,1,2,1,1,1,0,2,1,3,3,2
4,2,0,3,2,2,2,2,2,1,1,3,2,0,1,2,2,3,1,3,3,1,1,2,1,1,3,4,1,2,3
5,1,0,0,0,1,2,1,1,1,2,1,2,2,1,3,4,0,3,0,5,0,3,1,1,2,0,2,3,1,2
6,3,0,1,1,1,2,2,2,3,3,1,2,1,4,1,2,0,2,1,2,4,4,0,1,1,3,2,4,0,2
7,1,1,0,4,2,1,1,1,1,0,4,1,1,2,2,3,5,1,2,2,0,1,4,2,3,1,1,0,1,3
8,1,2,14,2,1,2,3,2,3,1,0,2,1,0,2,1,3,2,0,0,2,1,3,1,1,5,0,1,1,0
9,2,1,14,1,1,2,1,1,0,3,1,2,3,14,2,3,5,1,2,0,3,0,1,1,3,0,3,1,1,2
10,0,1,14,0,1,1,0,0,0,0,0,0,0,14,4,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1
11,1,1,1,1,0,1,1,0,1,0,1,0,0,14,4,0,0,1,1,0,0,1,1,0,3,1,0,0,0,0
12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,1,3,0,2,14,0,1,3,4,3,0,1,1,4,3,2,0,1,1,14,2,1,1,2,1,0,2,3
16,1,0,1,4,0,2,14,2,4,4,4,3,0,1,2,2,1,1,1,0,1,14,1,1,3,3,4,0,2,1
17,2,1,3,2,0,3,3,3,2,3,1,0,0,1,1,4,3,0,2,2,0,14,0,1,3,1,3,0,1,2
18,2,0,2,3,0,3,2,1,2,1,2,2,3,0,1,2,0,0,2,14,0,2,3,1,1,1,2,0,3,1
19,0,3,0,0,3,3,2,0,0,0,0,0,1,0,2,0,1,1,0,0,0,1,0,2,0,1,0,0,2,1
20,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,2,0,1,1,1,0,1,0
21,0,1,0,0,0,0,1,0,3,3,1,0,1,2,1,0,0,0,1,0,0,2,1,2,0,0,0,0,1,1
22,1,2,3,5,0,2,2,1,1,0,3,14,0,1,0,1,2,1,1,0,2,2,0,2,0,1,1,0,0,1
23,1,1,2,3,2,1,4,1,0,2,1,2,2,2,0,0,1,2,2,2,1,5,2,0,2,1,2,0,2,4
